Semana epidem. notificação;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;RJ;SP;PR;SC;RS;MS;MT;GO;DF
Semana 01;34.0;344.0;267.0;2.0;72.0;56.0;12.0;8.0;37.0;40.0;44.0;30.0;42.0;36.0;4.0;348.0;8465.0;2016.0;3534.0;3170.0;320.0;152.0;109.0;256.0;1515.0;3559.0
Semana 02;81.0;512.0;459.0;1.0;164.0;175.0;43.0;38.0;130.0;63.0;104.0;83.0;52.0;56.0;21.0;584.0;18293.0;3941.0;7435.0;6092.0;635.0;345.0;224.0;564.0;3422.0;6818.0
Semana 03;110.0;573.0;515.0;5.0;257.0;165.0;53.0;44.0;111.0;87.0;147.0;95.0;64.0;67.0;23.0;815.0;27256.0;5928.0;10777.0;8414.0;1037.0;551.0;345.0;715.0;4036.0;9802.0
Semana 04;131.0;419.0;459.0;5.0;310.0;178.0;44.0;75.0;85.0;108.0;130.0;87.0;103.0;63.0;17.0;1164.0;42835.0;7564.0;15872.0;10937.0;1546.0;906.0;399.0;939.0;6569.0;16429.0
Semana 05;169.0;301.0;414.0;17.0;428.0;224.0;83.0;80.0;133.0;131.0;141.0;112.0;118.0;97.0;17.0;2060.0;62140.0;9835.0;21059.0;11976.0;2103.0;1339.0;461.0;1173.0;9651.0;20307.0
Semana 06;212.0;244.0;534.0;8.0;665.0;434.0;130.0;192.0;316.0;171.0;167.0;146.0;204.0;119.0;27.0;3437.0;83043.0;16054.0;29140.0;14286.0;3581.0;1944.0;572.0;1486.0;13427.0;22236.0
Semana 07;194.0;124.0;418.0;5.0;656.0;390.0;90.0;225.0;343.0;139.0;211.0;176.0;229.0;175.0;32.0;4187.0;81828.0;17083.0;34271.0;16767.0;5358.0;2798.0;693.0;1300.0;13090.0;19816.0
Semana 08;494.0;151.0;520.0;20.0;1328.0;471.0;158.0;556.0;666.0;248.0;609.0;532.0;677.0;454.0;81.0;8318.0;115711.0;27655.0;52084.0;24332.0;9074.0;5216.0;857.0;1937.0;17534.0;22361.0
Semana 09;482.0;147.0;445.0;3.0;1291.0;546.0;198.0;687.0;700.0;355.0;921.0;821.0;826.0;565.0;112.0;12807.0;125021.0;26166.0;62103.0;25247.0;11913.0;6091.0;813.0;1699.0;17318.0;21493.0
Semana 10;613.0;121.0;506.0;8.0;1266.0;682.0;221.0;767.0;750.0;424.0;1187.0;1002.0;1109.0;516.0;92.0;14883.0;129546.0;25884.0;77544.0;29862.0;14672.0;8031.0;973.0;1639.0;17680.0;19659.0
Semana 11;558.0;105.0;385.0;13.0;1151.0;421.0;242.0;860.0;820.0;429.0;1246.0;796.0;1391.0;474.0;84.0;16434.0;129742.0;23174.0;89526.0;36052.0;17933.0;9926.0;1148.0;1721.0;18074.0;18494.0
Semana 12;482.0;109.0;358.0;4.0;1338.0;340.0;215.0;1206.0;879.0;405.0;1238.0;957.0;1583.0;554.0;80.0;18447.0;134845.0;20011.0;114098.0;41389.0;23583.0;12579.0;1266.0;1681.0;17836.0;17476.0
Semana 13;152.0;62.0;205.0;7.0;884.0;326.0;279.0;719.0;591.0;350.0;938.0;669.0;1076.0;431.0;74.0;16204.0;105532.0;13766.0;123107.0;41675.0;26488.0;13166.0;1007.0;1353.0;14710.0;11568.0
Semana 14;202.0;96.0;212.0;9.0;1120.0;396.0;246.0;888.0;781.0;772.0;998.0;769.0;1485.0;457.0;102.0;19441.0;105835.0;14564.0;127009.0;46664.0;29408.0;16588.0;1127.0;1754.0;17109.0;10831.0
Semana 15;166.0;71.0;218.0;2.0;989.0;312.0;294.0;843.0;841.0;903.0;952.0;703.0;1363.0;562.0;95.0;18900.0;102246.0;13110.0;146187.0;45748.0;31121.0;19154.0;1134.0;1802.0;18062.0;10818.0
Semana 16;152.0;102.0;152.0;3.0;907.0;350.0;322.0;704.0;776.0;773.0;817.0;756.0;1488.0;538.0;58.0;16526.0;85087.0;11224.0;142942.0;43124.0;30703.0;19917.0;956.0;2178.0;18364.0;8626.0
Semana 17;148.0;79.0;135.0;11.0;759.0;255.0;279.0;548.0;782.0;706.0;738.0;588.0;1379.0;518.0;81.0;14272.0;67314.0;8607.0;148017.0;39857.0;28910.0;18826.0;970.0;2342.0;17748.0;6732.0
Semana 18;66.0;69.0;108.0;8.0;593.0;177.0;236.0;405.0;562.0;595.0;506.0;469.0;1123.0;498.0;67.0;11079.0;54283.0;8003.0;134105.0;35465.0;22629.0;14050.0;916.0;2199.0;15681.0;5240.0
Semana 19;85.0;58.0;76.0;5.0;536.0;174.0;224.0;349.0;620.0;579.0;564.0;453.0;995.0;476.0;48.0;10359.0;50362.0;7195.0;146511.0;40641.0;23855.0;13061.0;1032.0;2481.0;15554.0;4208.0
Semana 20;51.0;36.0;90.0;18.0;539.0;135.0;200.0;220.0;615.0;529.0;402.0;416.0;952.0;571.0;41.0;8564.0;39163.0;6591.0;146983.0;36057.0;22332.0;14967.0;953.0;2060.0;13043.0;3930.0
Semana 21;42.0;34.0;77.0;24.0;416.0;153.0;189.0;267.0;631.0;465.0;361.0;337.0;1015.0;595.0;59.0;6922.0;31374.0;5863.0;126247.0;26533.0;15304.0;7423.0;698.0;1713.0;10503.0;3390.0
Semana 22;27.0;47.0;49.0;21.0;274.0;173.0;127.0;139.0;617.0;370.0;269.0;228.0;774.0;515.0;39.0;4543.0;20816.0;3660.0;80032.0;13446.0;6328.0;3007.0;357.0;1119.0;6806.0;2809.0
Semana 23;30.0;35.0;60.0;37.0;315.0;168.0;135.0;142.0;625.0;364.0;282.0;252.0;968.0;610.0;87.0;3769.0;16307.0;3387.0;59677.0;9969.0;5959.0;2440.0;250.0;957.0;6690.0;2212.0
Semana 24;42.0;25.0;58.0;34.0;342.0;219.0;81.0;101.0;524.0;333.0;238.0;232.0;985.0;593.0;64.0;2889.0;10872.0;2718.0;46056.0;8671.0;4605.0;2016.0;330.0;903.0;5056.0;1338.0
Semana 25;25.0;18.0;43.0;34.0;307.0;220.0;70.0;97.0;366.0;337.0;207.0;220.0;891.0;713.0;59.0;2022.0;8399.0;2325.0;39294.0;8059.0;4004.0;2296.0;297.0;935.0;3985.0;880.0
Semana 26;33.0;23.0;44.0;34.0;303.0;190.0;45.0;79.0;260.0;326.0;255.0;186.0;707.0;667.0;47.0;1559.0;5999.0;2143.0;31722.0;5460.0;2822.0;1797.0;214.0;647.0;3046.0;399.0
Semana 27;21.0;28.0;79.0;25.0;235.0;193.0;38.0;62.0;222.0;279.0;274.0;215.0;985.0;602.0;48.0;1277.0;3955.0;1684.0;20028.0;3491.0;1721.0;1054.0;120.0;637.0;2324.0;494.0
Semana 28;30.0;21.0;73.0;20.0;282.0;280.0;35.0;42.0;181.0;307.0;300.0;224.0;867.0;767.0;42.0;1306.0;3110.0;1291.0;12917.0;1707.0;901.0;441.0;52.0;473.0;2384.0;608.0
Semana 29;21.0;18.0;95.0;15.0;201.0;239.0;18.0;23.0;194.0;318.0;281.0;215.0;672.0;684.0;53.0;1069.0;2261.0;1278.0;10848.0;1330.0;498.0;338.0;50.0;310.0;1411.0;428.0
Semana 30;14.0;17.0;74.0;17.0;191.0;208.0;22.0;23.0;179.0;228.0;224.0;203.0;657.0;768.0;34.0;904.0;1651.0;1004.0;8918.0;1393.0;454.0;166.0;47.0;282.0;1700.0;376.0
Semana 31;25.0;25.0;59.0;11.0;202.0;230.0;18.0;36.0;128.0;183.0;213.0;201.0;514.0;571.0;45.0;726.0;1297.0;843.0;7526.0;1066.0;568.0;162.0;47.0;306.0;1575.0;464.0
Semana 32;26.0;23.0;66.0;26.0;245.0;285.0;18.0;18.0;123.0;250.0;281.0;215.0;488.0;419.0;30.0;679.0;1317.0;598.0;7006.0;1290.0;355.0;161.0;41.0;265.0;1101.0;549.0
Semana 33;13.0;25.0;90.0;20.0;165.0;213.0;20.0;28.0;97.0;223.0;239.0;227.0;490.0;509.0;46.0;551.0;1034.0;662.0;5289.0;940.0;312.0;135.0;31.0;193.0;848.0;451.0
Semana 34;13.0;26.0;70.0;18.0;192.0;175.0;19.0;19.0;88.0;175.0;218.0;178.0;488.0;351.0;25.0;591.0;1442.0;580.0;5027.0;791.0;240.0;96.0;26.0;161.0;828.0;405.0
Semana 35;21.0;21.0;86.0;18.0;196.0;148.0;12.0;25.0;89.0;117.0;189.0;179.0;418.0;323.0;47.0;441.0;1089.0;769.0;4207.0;614.0;180.0;101.0;20.0;162.0;729.0;290.0
Semana 36;14.0;23.0;79.0;15.0;163.0;53.0;23.0;30.0;69.0;158.0;153.0;165.0;359.0;288.0;48.0;426.0;1112.0;577.0;4347.0;682.0;160.0;112.0;27.0;163.0;686.0;200.0
Semana 37;7.0;26.0;109.0;11.0;146.0;53.0;17.0;34.0;68.0;124.0;181.0;159.0;435.0;239.0;77.0;415.0;1153.0;642.0;4496.0;918.0;168.0;140.0;25.0;125.0;660.0;296.0
Semana 38;17.0;30.0;100.0;13.0;170.0;81.0;14.0;16.0;42.0;141.0;198.0;139.0;456.0;260.0;82.0;403.0;1217.0;470.0;3952.0;718.0;116.0;138.0;35.0;121.0;675.0;235.0
Semana 39;15.0;34.0;78.0;10.0;158.0;33.0;21.0;30.0;31.0;147.0;168.0;111.0;420.0;185.0;73.0;392.0;1426.0;508.0;4399.0;1056.0;178.0;128.0;39.0;119.0;622.0;233.0
Semana 40;11.0;62.0;84.0;18.0;151.0;35.0;25.0;26.0;42.0;118.0;130.0;135.0;386.0;181.0;65.0;319.0;1354.0;382.0;4781.0;1155.0;241.0;166.0;58.0;123.0;509.0;211.0
