DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. notificação e UF de notificação
Período:2024
"Semana epidem. notificação";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Semana 01";34;344;267;2;72;56;11;8;37;39;44;30;42;36;4;348;8443;2016;3530;3170;317;152;109;256;1511;3559;24437
"Semana 02";81;512;459;1;164;174;42;38;130;63;104;83;51;56;21;584;18259;3951;7429;6092;634;344;224;564;3406;6817;50283
"Semana 03";110;573;515;5;257;164;53;44;111;87;147;95;64;67;23;815;27198;5933;10765;8412;1036;550;345;715;4021;9802;71907
"Semana 04";131;419;459;5;310;178;45;75;85;108;130;87;99;63;17;1165;42766;7551;15851;10937;1547;905;399;939;6549;16414;107234
"Semana 05";169;300;390;17;428;214;82;80;133;131;141;112;114;97;17;2061;62018;9844;21028;11978;2103;1346;461;1173;9610;20261;144308
"Semana 06";212;244;528;8;663;417;127;192;316;171;167;146;202;119;27;3437;82906;16057;29089;14286;3578;2002;572;1486;13376;22156;192484
"Semana 07";194;124;416;5;655;386;88;225;342;139;211;176;226;174;32;4186;81579;17090;34121;16769;5357;2843;693;1300;13057;19804;200192
"Semana 08";494;151;519;20;1322;468;155;556;667;248;609;532;669;453;81;8312;115351;27661;51817;24329;9070;5267;857;1936;17494;22360;291398
"Semana 09";482;147;434;3;1287;541;194;688;700;355;920;822;812;565;112;12786;124417;26157;61780;25238;11910;6132;817;1700;17306;21488;317793
"Semana 10";613;121;498;8;1266;680;220;767;750;424;1187;1002;1090;516;92;14843;129136;25860;77133;29858;14672;8475;960;1639;17716;19648;349174
"Semana 11";558;105;376;13;1150;418;239;860;819;430;1246;796;1310;474;84;16378;129373;23143;89229;36044;17934;10346;1160;1721;18106;18491;370803
"Semana 12";482;109;335;4;1332;342;214;1206;871;403;1238;959;1485;553;80;18372;134720;20013;113697;41383;23250;12706;1279;1681;17906;17476;412096
"Semana 13";152;62;195;7;881;323;270;723;591;350;938;672;1035;431;74;16163;105409;13768;122731;41657;25539;13213;1016;1353;14727;11538;373818
"Semana 14";201;96;202;9;1114;396;245;889;772;765;998;769;1433;457;102;19446;105727;14551;126914;46642;29363;16816;1137;1754;17056;10802;398656
"Semana 15";166;71;208;2;984;311;292;844;836;901;952;703;1328;561;95;18855;102202;13089;146214;45712;31102;19235;1146;1783;18006;10802;416400
