DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. notificação e UF de notificação
Período:2022
"Semana epidem. notificação";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Semana 01";117;58;25;-;76;2;721;15;31;49;19;49;31;21;1;187;286;8;998;72;4;3;32;511;2249;403;5968
"Semana 02";235;128;67;1;245;5;1075;45;82;119;45;123;60;51;5;319;594;13;1514;101;20;21;81;964;3156;640;9709
"Semana 03";312;175;62;1;295;4;1045;60;127;89;76;118;63;55;3;328;689;19;1819;125;19;46;105;1037;3597;794;11063
"Semana 04";269;145;47;-;240;3;975;27;113;77;41;188;121;29;3;386;736;21;1746;137;16;55;103;1034;4708;1096;12316
"Semana 05";284;96;100;1;215;5;1068;47;198;109;53;175;99;84;6;436;749;44;2211;197;32;79;158;1036;5245;1110;13837
"Semana 06";288;125;86;-;249;9;1010;84;257;137;64;205;140;87;8;568;902;44;2827;350;66;85;172;1107;6280;1465;16615
"Semana 07";393;158;115;-;245;9;951;107;396;312;100;289;189;99;12;602;971;71;3698;540;216;103;170;1164;6876;1526;19312
"Semana 08";393;124;110;-;201;12;904;113;479;370;133;406;213;106;12;810;1157;74;4683;1081;411;349;207;1093;6986;1854;22281
"Semana 09";380;106;80;-;153;4;577;122;365;373;160;284;221;108;17;786;1301;65;5641;1996;897;899;293;1028;6345;1475;23676
"Semana 10";451;152;125;-;235;6;644;209;580;583;225;540;279;124;16;1081;1999;137;10306;4287;2268;2115;447;1254;8757;2481;39301
"Semana 11";444;132;150;-;209;9;637;232;855;606;371;615;339;102;26;1257;2678;262;13349;6325;3603;3978;543;1422;10072;2652;50868
"Semana 12";472;101;149;1;214;8;637;204;1373;666;516;660;363;165;16;1611;3635;212;16537;8341;4757;5311;599;1590;10486;3092;61716
"Semana 13";453;71;116;1;169;4;660;216;1763;828;632;719;421;202;34;1768;4614;301;20438;10829;6453;6020;802;1686;11804;3719;74723
"Semana 14";560;94;144;-;144;10;751;246;2317;1246;739;793;505;352;58;2048;5171;336;23736;13171;7454;6775;939;1907;10876;4115;84487
"Semana 15";458;80;83;-;162;8;709;183;1553;1185;868;661;427;385;64;1556;5421;332;24257;12502;6601;5955;988;1655;9775;3523;79391
"Semana 16";511;88;110;1;155;7;733;193;2420;1540;1360;957;671;587;90;1784;5981;348;26601;15145;8630;7923;1060;1901;10061;4172;93029
"Semana 17";576;87;100;1;203;6;798;314;3323;1716;1985;1165;771;894;96;2195;6972;625;31423;15945;8139;7314;1750;2027;11075;4950;104450
"Semana 18";446;91;78;-;187;5;657;287;2312;2039;2033;1246;894;1282;110;1999;6357;589;30715;15304;7508;6108;1820;1707;10075;3822;97671
"Semana 19";442;87;110;1;184;9;689;309;2134;2327;2075;1449;897;1467;149;1779;6436;802;31252;14838;7128;4367;1918;1464;9087;3298;94698
"Semana 20";351;87;74;1;168;3;693;356;1636;2802;2444;1691;747;2011;185;1750;5399;763;18829;8977;5654;3431;1016;1230;6742;3440;70480
"Semana 21";290;63;88;1;130;8;592;223;1124;2539;2502;1315;635;2097;192;1439;3637;655;14827;6422;4991;2218;942;1018;5454;2910;56312
"Semana 22";275;61;79;4;98;6;543;298;1299;2533;2764;1258;582;2242;276;1217;2802;610;9916;3573;2760;1297;746;735;4325;2046;42345
"Semana 23";271;53;74;2;96;2;449;249;1068;2579;2673;1392;592;2214;264;981;2307;516;9048;3168;1926;967;822;698;3688;1548;37647
"Semana 24";170;34;52;-;81;5;324;202;924;2004;2306;1113;476;1957;288;724;1533;381;5373;2074;895;305;495;508;2633;1427;26284
"Semana 25";184;28;57;-;81;7;331;217;946;2056;2325;943;452;2169;212;523;1557;356;5198;1754;1071;276;530;437;2875;1192;25777
"Semana 26";183;26;45;2;87;4;265;186;1007;1548;1744;1214;473;1549;212;580;1048;230;3709;1363;966;191;397;358;2320;1095;20802
"Semana 27";147;24;52;2;84;7;222;183;490;1321;1491;1176;348;1783;266;452;902;229;3269;1152;611;203;499;333;1810;751;17807
"Semana 28";175;34;55;3;57;6;158;167;580;1026;1618;851;313;1598;267;400;744;235;2541;879;393;159;433;218;1709;583;15202
"Semana 29";155;51;41;2;63;6;158;150;293;992;1409;771;352;1545;262;369;521;222;2301;681;266;99;344;227;1519;517;13316
"Semana 30";134;29;41;1;50;4;140;127;217;1037;1175;874;339;1107;255;384;534;192;1968;673;173;79;284;177;1532;413;11939
"Semana 31";113;30;44;2;39;1;131;109;170;1122;1122;674;316;1114;290;313;414;191;1853;480;205;62;340;150;1379;432;11096
"Semana 32";112;22;47;1;44;7;113;85;269;879;1074;467;356;886;171;309;391;134;1351;314;106;47;243;161;1669;375;9633
"Semana 33";88;14;32;2;30;7;84;82;148;803;1040;528;326;912;171;262;357;121;1278;204;103;40;215;117;978;472;8414
"Semana 34";80;20;37;3;38;6;78;117;116;715;856;605;315;590;153;344;255;123;943;177;105;36;213;155;1134;437;7651
"Semana 35";79;12;25;3;44;4;79;93;59;607;721;457;287;591;118;247;337;87;852;173;61;35;206;133;1127;404;6841
"Semana 36";68;4;21;-;30;2;29;43;51;434;437;407;187;451;90;190;227;78;707;129;53;18;172;93;991;471;5383
"Semana 37";81;13;104;-;34;11;67;86;103;499;610;400;170;465;79;197;334;93;785;131;54;13;169;109;1090;437;6134
"Semana 38";93;22;129;1;49;5;63;79;36;374;322;362;171;438;101;180;333;97;727;119;115;14;195;107;1188;429;5749
"Semana 39";114;17;183;2;29;10;69;78;54;339;258;215;139;284;85;229;294;87;581;101;50;42;220;98;1029;502;5109
"Semana 40";71;12;219;2;46;2;51;69;16;279;198;185;147;257;109;240;304;83;700;94;31;17;258;97;1026;455;4968
"Semana 41";80;23;212;-;37;5;43;60;29;218;174;196;155;190;53;219;299;92;622;106;23;2;190;76;824;414;4342
"Semana 42";117;31;287;3;42;4;53;70;13;170;180;161;199;184;51;248;405;113;697;146;70;6;242;117;959;486;5054
"Semana 43";129;43;188;1;48;6;40;64;22;162;172;112;150;140;33;190;429;116;757;162;61;7;335;153;802;422;4744
"Semana 44";121;44;145;6;43;-;49;44;39;127;170;143;131;123;31;185;360;105;615;109;25;6;331;137;632;308;4029
"Semana 45";157;47;154;1;50;3;56;62;28;151;175;155;194;127;48;229;471;141;836;163;12;18;576;221;1049;393;5517
"Semana 46";217;46;156;1;48;5;70;68;46;161;197;112;135;109;36;205;459;98;708;170;24;13;659;195;1102;365;5405
